ID,log2FoldChange,pvalue,padj,AD2N1,AD2N2,AD2N3,AD2N4,AGN1,AGN2,AGN3,AGN4,Gene.name
ENSG00000000003,-0.684418592,0.010858913,0.037760533,1355.73495,1416.807435,1052.10771,1323.610461,1414.096217,1333.466512,2980.296726,2547.523629,TSPAN6
ENSG00000000419,-0.63352665,0.001215025,0.007027954,1226.219438,1154.547335,977.1271832,1096.214002,1405.306945,1351.045167,2269.775968,1885.73952,DPM1
ENSG00000000457,-0.262897611,0.053943223,0.125274425,325.8777383,317.5256379,298.7319403,365.1026801,369.1494268,369.9888252,415.6648818,416.2040153,SCYL3
ENSG00000000460,-0.036581702,0.866484751,0.913183323,426.1478116,355.7091007,353.4796266,333.3940107,261.7249904,328.1348857,423.8553228,493.1327196,C1orf112
ENSG00000000971,2.119517601,3.28E-22,3.75E-20,1348.42359,1761.463428,1266.337787,1619.86003,426.7679881,402.634898,227.2847383,322.5087986,CFH
ENSG00000001036,0.182710171,0.128638675,0.237508623,3495.874327,3500.820641,3747.836175,3376.52032,2911.202225,2866.157777,3606.865464,3057.422861,FUCA2
ENSG00000001084,-0.569093826,5.28E-08,1.16E-06,594.3090804,565.7181461,535.5751918,587.9693286,860.3720767,849.6349718,830.3059585,849.1745431,GCLC
ENSG00000001167,0.448546287,0.000123484,0.001120946,1676.390288,1449.966758,1456.764522,1432.325899,1184.598557,1061.415906,1023.805128,1138.150317,NFYA
ENSG00000001460,-0.234832113,0.07969588,0.166767511,591.1756406,555.6698664,530.8145234,621.489922,725.6032384,746.6742806,611.2116612,622.3334921,STPG1
ENSG00000001461,0.009939387,0.950270448,0.969607701,9132.932511,9440.358761,8748.918299,9703.758826,11057.88085,9972.119625,8685.962702,7055.742952,NIPAL3
ENSG00000001497,0.248891556,0.119833791,0.225683675,1657.58965,1484.130909,1911.408351,1393.369534,1173.856114,1290.775494,1351.422768,1607.612666,LAS1L
ENSG00000001561,-0.773678813,0.000196182,0.001629214,186.9619075,211.0138733,153.531555,224.6785724,242.1932747,333.9944372,396.2125844,357.028089,ENPP4
ENSG00000001617,-0.044886512,0.897032938,0.933803818,1892.597634,2662.794116,2499.350895,2800.328497,4011.814405,3469.691584,1342.208522,1342.307263,SEMA3F
ENSG00000001629,-0.018590079,0.877446992,0.920473861,4191.497961,3794.230408,3815.675699,3987.138698,4214.944249,4496.78726,3649.86528,3630.443081,ANKIB1
